Feature,Importance,SGD,XGB,LGBM,Stacking
B_AMT_CREDIT_SUM_DEBT_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_DEBT_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_DEBT_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_DEBT_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_LIMIT_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_LIMIT_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_LIMIT_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_LIMIT_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_LIMIT_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_OVERDUE_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_OVERDUE_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_OVERDUE_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_OVERDUE_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_OVERDUE_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_CREDIT_UPDATE_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_CREDIT_UPDATE_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_CREDIT_UPDATE_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_CREDIT_UPDATE_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_CREDIT_UPDATE_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_ANNUITY_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_ANNUITY_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_ANNUITY_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_ANNUITY_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_ANNUITY_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_MONTHS_BALANCE_POS_COUNT_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_MONTHS_BALANCE_POS_COUNT_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_MONTHS_BALANCE_POS_COUNT_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_MONTHS_BALANCE_POS_COUNT_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_MONTHS_BALANCE_POS_COUNT_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_MONTHS_BALANCE_POS_MEAN_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_MONTHS_BALANCE_POS_MEAN_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_MONTHS_BALANCE_POS_MEAN_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_MONTHS_BALANCE_POS_MEAN_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_MONTHS_BALANCE_POS_MEAN_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_MONTHS_BALANCE_POS_MAX_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_MONTHS_BALANCE_POS_MAX_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_MONTHS_BALANCE_POS_MAX_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_MONTHS_BALANCE_POS_MAX_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_MONTHS_BALANCE_POS_MAX_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_FIRST_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_FIRST_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_FIRST_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_FIRST_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_FIRST_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MEAN_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MEAN_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MEAN_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MEAN_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MEAN_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_SUM_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_SUM_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_SUM_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_SUM_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_SUM_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_FIRST_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_FIRST_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_FIRST_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_FIRST_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_FIRST_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_ENCODED_STATUS_LAST_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_ENCODED_STATUS_LAST_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_ENCODED_STATUS_LAST_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_ENCODED_STATUS_LAST_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_ENCODED_STATUS_LAST_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_WEIGHTED_STATUS_LAST_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_WEIGHTED_STATUS_LAST_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_WEIGHTED_STATUS_LAST_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_WEIGHTED_STATUS_LAST_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_YEAR_0_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_YEAR_0_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_YEAR_0_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_YEAR_0_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_YEAR_0_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_YEAR_0_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_YEAR_0_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_YEAR_0_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_YEAR_0_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_YEAR_0_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_LAST_YEAR_0_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_LAST_YEAR_0_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_LAST_YEAR_0_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_LAST_YEAR_0_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_LAST_YEAR_0_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_FIRST_YEAR_0_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_FIRST_YEAR_0_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_FIRST_YEAR_0_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_FIRST_YEAR_0_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_FIRST_YEAR_0_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MEAN_YEAR_0_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MEAN_YEAR_0_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MEAN_YEAR_0_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MEAN_YEAR_0_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MEAN_YEAR_0_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MAX_YEAR_0_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MAX_YEAR_0_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MAX_YEAR_0_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MAX_YEAR_0_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MAX_YEAR_0_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_FIRST_YEAR_0_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_FIRST_YEAR_0_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_FIRST_YEAR_0_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_FIRST_YEAR_0_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_FIRST_YEAR_0_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_LAST_YEAR_0_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_LAST_YEAR_0_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_LAST_YEAR_0_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_LAST_YEAR_0_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_WEIGHTED_STATUS_LAST_YEAR_0_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_WEIGHTED_STATUS_LAST_YEAR_0_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_WEIGHTED_STATUS_LAST_YEAR_0_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_WEIGHTED_STATUS_LAST_YEAR_0_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_ENCODED_STATUS_LAST_YEAR_0_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_ENCODED_STATUS_LAST_YEAR_0_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_ENCODED_STATUS_LAST_YEAR_0_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_ENCODED_STATUS_LAST_YEAR_0_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_ENCODED_STATUS_LAST_YEAR_0_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_YEAR_1_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_YEAR_1_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_YEAR_1_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_YEAR_1_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_YEAR_1_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_YEAR_1_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_YEAR_1_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_YEAR_1_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_YEAR_1_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_YEAR_1_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_LAST_YEAR_1_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_LAST_YEAR_1_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_LAST_YEAR_1_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_LAST_YEAR_1_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_LAST_YEAR_1_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_FIRST_YEAR_1_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_FIRST_YEAR_1_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_FIRST_YEAR_1_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_FIRST_YEAR_1_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_FIRST_YEAR_1_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MEAN_YEAR_1_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MAX_YEAR_1_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_MAX_YEAR_1_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_FIRST_YEAR_1_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_WEIGHTED_STATUS_LAST_YEAR_1_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_WEIGHTED_STATUS_LAST_YEAR_1_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_ENCODED_STATUS_LAST_YEAR_1_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_ENCODED_STATUS_LAST_YEAR_1_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_ENCODED_STATUS_LAST_YEAR_1_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_ENCODED_STATUS_LAST_YEAR_1_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_EXP_ENCODED_STATUS_LAST_YEAR_1_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_YEAR_REST_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_YEAR_REST_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_YEAR_REST_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_YEAR_REST_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MEAN_YEAR_REST_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_YEAR_REST_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_YEAR_REST_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_YEAR_REST_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_YEAR_REST_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_MAX_YEAR_REST_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_LAST_YEAR_REST_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_LAST_YEAR_REST_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_LAST_YEAR_REST_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_BB_STATUS_ENCODED_LAST_YEAR_REST_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
