Feature,Importance_Aggregate_Mask
WEIGHTED_EXT_SOURCE,1.760804315738874
AGE_EMPLOYED_DIFF,0.44909311472788943
AMT_INCOME_TOTAL_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.36135372885831585
HOUR_PROCESS_CREDIT_MUL,0.3359901225349096
EXT_SOURCE_1,0.27076193889069466
CREDIT_GOODS_DIFF,0.2563771559309475
AMT_ANNUITY_MEAN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.20288540493911456
AGE_EMPLOYED_DIFF_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.1802531093037236
AMT_ANNUITY,0.1773156787235711
APARTMENTS_SUM_MODE,0.16142394791028378
B_DAYS_CREDIT_UPDATE_MAX_OVERALL,0.11336521266430422
B_DAYS_CREDIT_ENDDATE_MIN_CA_CLOSED,0.09848952975036411
AMT_ANNUITY_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.09517518262276968
AMT_ANNUITY_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.06978893030254842
AMT_INCOME_TOTAL_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0658025228575359
B_DAYS_CREDIT_ENDDATE_MIN_OVERALL,0.06340392329016478
AMT_ANNUITY_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.04573549398053428
CAR_EMPLOYED_RATIO,0.04490819392395675
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_SUM_OVERALL,0.037808775967490944
AMT_ANNUITY_MIN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.03223212946797917
AMT_INCOME_TOTAL_MIN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.031000946718751702
DAYS_EMPLOYED,0.027783270568220858
B_DAYS_ENDDATE_FACT_MAX_OVERALL,0.026861837059418945
AMT_ANNUITY_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.019771191429233795
FLAG_DOCUMENT_3,0.019691285972192173
B_AMT_CREDIT_SUM_MAX_CA_CLOSED,0.01793381428853827
AGE_EMPLOYED_DIFF_MEAN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.01688298807843902
ANNUITY_INCOME_RATIO_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.013433483774179536
OWN_CAR_AGE,0.012952278294319008
B_DAYS_ENDDATE_FACT_STD_OVERALL,0.009055975948207815
B_DAYS_CREDIT_ENDDATE_MEAN_OVERALL,0.004865140187773665
CREDIT_GOODS_RATIO,0.004503820095816865
B_AMT_CREDIT_SUM_SUM_CA_CLOSED,0.0017216699632048318
AMT_ANNUITY_MIN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0009866408008470848
AMT_ANNUITY_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0007229986906652153
AMT_INCOME_TOTAL_MEAN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0006741229603361202
AMT_INCOME_TOTAL_MEAN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.00022390654526159305
DAYS_DETAILS_CHANGE_SUM,0.00012795220264369094
B_DAYS_CREDIT_MIN_CA_CLOSED,8.467465460896836e-05
CAR_AGE_DIFF,8.106771646664921e-05
AMT_INCOME_TOTAL_MEAN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,6.785567021614935e-05
AGE_EMPLOYED_DIFF_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,3.418762668430762e-05
AGE_EMPLOYED_DIFF_MEAN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,1.966381605330776e-05
FLOORSMAX_MEDI,1.1896818190731247e-05
CAR_EMPLOYED_DIFF,1.0360068726133385e-05
EXT_SOURCE_MAX,1.0193874792704267e-05
AGE_EMPLOYED_DIFF_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,5.071907511110527e-06
INCOME_APARTMENT_MODE_MUL,2.332790067074544e-06
AMT_INCOME_TOTAL_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,2.1782333331066845e-06
B_B_CREDIT_DURATION_SUM_OVERALL,3.708083954137622e-07
B_B_CURRENT_CREDIT_DEBT_DIFF_MAX_OVERALL,0.0
B_DAYS_CREDIT_ENDDATE_MEAN_CA_CLOSED,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_STD_OVERALL,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0
B_CREDIT_ACTIVE_ACTIVE_MEAN,0.0
B_DAYS_CREDIT_MAX_CA_ACTIVE,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
AMT_ANNUITY_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
DAYS_BIRTH,0.0
AMT_ANNUITY_MIN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0
AGE_EMPLOYED_DIFF_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
AMT_INCOME_TOTAL_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0
B_DAYS_CREDIT_MAX_OVERALL,0.0
AMT_ANNUITY_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
B_B_CURRENT_CREDIT_DEBT_DIFF_MIN_OVERALL,0.0
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_MAX_OVERALL,0.0
EXT_SOURCE_3,0.0
EXT_SOURCE_2,0.0
CREDIT_ANNUITY_RATIO,0.0
EXT_SOURCE_MIN,0.0
B_DAYS_CREDIT_MEAN_OVERALL,0.0
INCOME_EXT_RATIO,0.0
B_DAYS_CREDIT_UPDATE_MEAN_OVERALL,0.0
B_B_CURRENT_CREDIT_DEBT_DIFF_MEAN_OVERALL,0.0
CREDIT_EXT_RATIO,0.0
B_CREDIT_ACTIVE_CLOSED_MEAN,0.0
AMT_INCOME_TOTAL_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
AMT_INCOME_TOTAL_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0
B_DAYS_CREDIT_STD_OVERALL,0.0
B_B_CREDIT_DURATION_MAX_CA_CLOSED,0.0
B_B_CREDIT_DURATION_MEAN_CA_CLOSED,0.0
DAYS_LAST_PHONE_CHANGE,0.0
AGE_EMPLOYED_DIFF_MEAN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
AMT_INCOME_TOTAL_MEAN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0
B_B_CREDIT_DURATION_MIN_CA_CLOSED,0.0
B_DAYS_CREDIT_UPDATE_STD_OVERALL,0.0
MISSING_VALS_TOTAL_APP,0.0
B_DAYS_CREDIT_MAX_CA_CLOSED,0.0
B_AMT_CREDIT_SUM_MEAN_CA_CLOSED,0.0
AMT_INCOME_TOTAL_MAX_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0
AMT_INCOME_TOTAL_MIN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0
AGE_EMPLOYED_DIFF_MIN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0
B_DAYS_CREDIT_SUM_OVERALL,0.0
DEF_30_CREDIT_RATIO,0.0
REGION_RATING_MUL,0.0
REG_CITY_NOT_WORK_CITY,0.0
DAYS_ID_PUBLISH,0.0
AMT_ANNUITY_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0
AMT_INCOME_TOTAL_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
AMT_INCOME_TOTAL_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0
AMT_INCOME_TOTAL_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0
OBS_60_CREDIT_RATIO,0.0
B_AMT_CREDIT_SUM_MAX_OVERALL,0.0
FLAG_REGIONS_SUM,0.0
B_AMT_CREDIT_SUM_MEAN_OVERALL,0.0
ENTRANCES_AVG,0.0
REG_CITY_NOT_LIVE_CITY,0.0
B_CREDIT_TYPE_CONSUMER CREDIT_MEAN,0.0
B_AMT_CREDIT_SUM_DEBT_MEAN_OVERALL,0.0
